YEAR;DOY;T2M;RH2M;PRECTOTCORR;WS2M
2025;151;32.25;45.3;2.67;4.63
2025;152;32.14;46.59;3.2;3.86
2025;153;32.12;44.84;1.11;5.49
2025;154;32.17;40.54;0.0;3.75
2025;155;33.5;37.07;0.0;2.31
2025;156;33.47;39.6;0.0;3.4
2025;157;34.11;34.55;0.0;2.5
2025;158;35.3;18.17;0.0;1.57
2025;159;35.59;29.07;0.0;1.58
2025;160;37.34;25.86;0.0;1.86
2025;161;36.34;29.58;0.0;2.05
2025;162;34.37;37.97;0.98;3.69
2025;163;28.91;75.61;326.2;2.15
2025;164;28.28;85.81;211.92;2.09
2025;165;28.0;76.32;0.0;3.33
2025;166;27.22;77.34;0.0;2.5
2025;167;27.98;70.58;0.0;2.26
2025;168;27.99;72.66;0.5;3.29
2025;169;27.89;67.22;0.0;3.33
2025;170;26.77;74.05;0.0;3.45
2025;171;26.83;73.67;0.04;3.45
2025;172;27.76;71.25;0.16;2.45
2025;173;29.27;67.87;0.76;2.37
2025;174;28.23;75.94;74.29;2.59
2025;175;28.05;73.41;0.03;2.79
2025;176;28.14;74.02;0.02;3.58
2025;177;27.63;76.59;0.03;3.37
2025;178;27.8;76.99;2.74;2.06
2025;179;27.05;84.46;10.3;1.75
2025;180;28.35;71.37;0.01;3.42
2025;181;26.56;74.25;0.0;3.79
2025;182;26.72;75.09;0.01;4.52
2025;183;26.83;75.42;0.11;4.1
2025;184;27.05;75.59;4.01;2.43
2025;185;27.98;76.08;2.58;1.85
2025;186;29.1;72.39;0.83;2.03
2025;187;28.35;74.99;2.91;2.19
2025;188;26.7;87.85;33.39;2.8
2025;189;26.27;85.3;11.83;2.59
2025;190;26.7;76.01;0.34;2.38
2025;191;28.02;73.81;1.33;1.82
2025;192;28.48;78.14;6.44;2.23
2025;193;27.72;82.0;4.94;4.31
2025;194;27.87;80.54;4.08;2.45
2025;195;26.97;82.81;3.58;2.12
2025;196;26.18;87.32;211.01;1.57
2025;197;27.38;81.65;330.59;1.13
2025;198;27.48;83.77;1.39;2.93
2025;199;27.98;79.39;14.63;2.08
2025;200;26.96;90.9;52.21;2.45
2025;201;26.81;91.36;1.21;1.85
2025;202;27.59;84.46;0.04;1.43
2025;203;27.85;84.99;0.41;1.37
2025;204;26.99;88.92;0.36;3.9
2025;205;25.55;88.54;0.02;3.78
2025;206;26.08;84.81;0.0;1.83
2025;207;27.25;82.77;0.02;1.29
2025;208;27.32;86.46;4.4;1.28
2025;209;28.24;83.36;0.28;1.06
2025;210;27.64;87.43;0.87;2.25
2025;211;26.93;88.98;2.3;2.65
2025;212;27.17;86.79;0.1;1.76
2025;213;27.57;86.65;8.2;1.61
2025;214;26.79;89.2;14.0;3.02
2025;215;26.99;87.22;0.86;2.64
2025;216;28.01;83.06;0.25;1.46
2025;217;27.65;87.32;5.47;1.41
2025;218;27.37;85.5;10.63;2.0
2025;219;27.95;84.95;13.36;1.72
2025;220;28.56;83.15;3.84;1.65
2025;221;27.08;87.15;34.42;2.6
2025;222;27.39;86.36;35.13;2.62
2025;223;27.1;88.39;10.14;2.53
2025;224;26.79;89.83;7.93;2.41
2025;225;28.11;86.05;5.9;1.33
2025;226;26.97;91.4;6.52;1.16
2025;227;26.8;87.95;16.04;2.05
2025;228;26.47;87.87;21.56;2.13
2025;229;26.57;83.5;1.56;2.16
2025;230;27.58;85.6;1.88;1.64
2025;231;27.59;89.0;3.65;1.65
2025;232;27.46;88.45;9.97;1.04
2025;233;27.0;90.25;34.09;1.51
2025;234;26.45;89.19;25.21;1.83
2025;235;27.16;87.29;4.83;1.46
2025;236;26.63;92.04;9.62;2.28
2025;237;27.53;88.8;1.93;2.25
2025;238;26.95;89.47;0.61;2.19
2025;239;26.34;90.72;3.08;1.88
2025;240;26.91;87.54;26.08;1.92
2025;241;26.61;84.51;0.15;1.99
2025;242;28.13;80.82;2.36;1.43
2025;243;28.03;85.87;7.79;1.18
2025;244;26.94;89.47;1.32;2.22
2025;245;26.75;88.8;1.03;1.29
2025;246;28.22;83.8;2.48;1.08
2025;247;27.45;90.78;0.9;1.51
2025;248;26.82;91.79;1.47;2.58
2025;249;26.9;90.26;2.83;1.55
2025;250;26.16;92.01;12.86;1.49
2025;251;26.92;86.38;4.1;1.09
2025;252;26.97;89.03;3.57;1.33
2025;253;27.15;87.0;3.65;0.95
2025;254;27.39;84.19;5.19;1.05
2025;255;27.85;84.2;4.13;1.15
2025;256;27.42;87.92;1.79;1.49
2025;257;27.15;90.79;3.92;1.22
2025;258;27.44;88.32;1.76;0.98
2025;259;27.41;85.9;1.46;1.12
2025;260;28.07;78.61;1.15;0.92
2025;261;28.56;86.01;3.16;1.68
2025;262;27.5;88.86;2.56;1.4
2025;263;26.97;87.43;3.73;1.44
2025;264;27.21;87.22;0.35;2.23
2025;265;26.63;90.05;4.22;2.1
2025;266;26.51;89.29;16.37;1.55
2025;267;26.97;82.12;9.18;1.23
2025;268;27.42;77.89;2.4;1.13
2025;269;28.34;77.31;0.8;1.27
2025;270;27.99;84.65;3.39;1.3
2025;271;27.89;86.11;0.36;1.88
2025;272;26.81;90.22;1.36;1.68
2025;273;25.52;93.02;31.37;3.01
2025;274;26.29;87.82;1.25;0.99
2025;275;27.19;84.29;0.95;1.19
2025;276;28.43;78.65;1.13;1.5
2025;277;28.16;83.43;6.36;1.11
2025;278;27.56;86.63;1.91;1.9
2025;279;27.93;77.94;3.49;1.4
2025;280;27.81;79.09;3.22;1.15
2025;281;27.77;80.23;5.71;1.1
2025;282;28.22;79.43;0.91;1.89
2025;283;28.01;82.16;1.51;1.67
2025;284;26.79;86.79;6.3;1.66
2025;285;27.74;80.33;2.09;1.39
2025;286;27.96;73.99;0.0;0.8
2025;287;26.61;82.0;0.04;1.01
2025;288;26.27;81.37;0.01;1.65
2025;289;27.41;75.08;0.0;1.47
2025;290;25.92;76.3;0.01;1.19
2025;291;26.06;83.49;0.06;1.38
2025;292;25.7;85.3;0.15;1.17
2025;293;27.04;80.4;0.03;1.55
2025;294;26.82;76.7;0.0;1.95
2025;295;27.04;78.07;0.01;1.35
2025;296;27.56;76.81;0.15;1.5
2025;297;27.73;72.47;0.2;1.15
2025;298;27.65;67.99;0.18;1.01
2025;299;28.29;77.97;0.01;1.19
2025;300;27.55;70.38;0.02;1.33
2025;301;24.98;67.55;0.0;1.61
2025;302;25.6;60.2;0.0;1.13
2025;303;25.77;61.65;0.0;0.98
2025;304;27.06;74.71;0.0;1.16
2025;305;27.12;76.55;0.0;1.15
2025;306;26.17;74.13;0.0;1.07
2025;307;24.49;66.06;0.0;1.7
2025;308;25.66;70.87;0.0;0.86
2025;309;27.21;73.42;0.01;1.03
2025;310;25.55;63.33;0.0;1.19
2025;311;26.24;53.6;0.0;0.9
2025;312;25.24;86.74;0.02;1.37
2025;313;26.41;78.33;0.0;1.27
2025;314;25.71;75.62;0.0;1.41
2025;315;24.39;77.63;0.02;2.34
2025;316;23.95;68.51;0.0;1.77
2025;317;23.03;71.76;0.0;1.15
2025;318;25.34;69.94;0.0;1.95
2025;319;24.75;63.8;0.0;2.44
2025;320;23.68;58.79;0.0;2.51
2025;321;23.4;53.62;0.0;2.19
2025;322;20.88;64.54;0.0;1.65
2025;323;23.37;56.36;0.0;1.41
2025;324;23.64;61.24;0.0;2.18
2025;325;22.61;64.74;0.0;2.06
2025;326;23.71;65.74;0.14;3.06
2025;327;22.79;61.55;0.01;3.0
2025;328;22.66;55.01;0.0;3.98
2025;329;20.98;48.79;0.04;3.34
2025;330;19.84;50.85;0.01;2.95
2025;331;22.82;54.07;0.0;2.21
2025;332;23.4;54.47;0.0;2.3
2025;333;23.35;52.35;0.0;1.97
2025;334;22.94;57.11;0.0;1.92
2025;335;22.3;56.16;0.0;2.98
2025;336;22.88;54.09;0.17;2.78
2025;337;20.13;69.55;1.12;3.19
2025;338;20.68;59.81;0.0;3.26
2025;339;22.04;48.37;0.0;3.15
2025;340;22.81;52.83;0.06;3.83
2025;341;19.81;63.82;0.0;2.38
2025;342;21.37;58.23;0.0;2.49
2025;343;21.78;51.2;0.0;3.06
2025;344;22.36;52.87;0.0;2.89
2025;345;22.43;44.11;0.0;2.95
2025;346;21.06;45.23;0.0;2.88
2025;347;19.61;44.55;0.0;3.36
2025;348;18.94;57.65;0.0;3.29
2025;349;18.81;47.16;0.0;3.15
2025;350;18.28;48.35;0.0;3.36
2025;351;19.51;44.11;0.0;3.64
2025;352;19.24;50.19;0.0;3.66
2025;353;18.43;43.74;0.0;2.92
2025;354;20.69;38.84;0.0;3.09
2025;355;20.49;38.71;0.0;2.95
2025;356;21.54;39.11;0.0;2.58
2025;357;21.58;38.55;0.0;2.99
2025;358;21.3;42.29;0.0;2.49
2025;359;19.88;44.5;0.0;2.83
2025;360;20.25;40.52;0.0;3.44
2025;361;20.41;41.18;0.0;2.79
2025;362;21.58;40.37;0.0;2.51
2025;363;23.1;39.46;0.0;2.74
2025;364;24.91;34.64;0.0;3.02
2025;365;25.37;35.98;0.0;3.03
